Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Namibia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.724,12.796,11.775,11.306,13.24,14.148,14.787,15.818,2017
Nepal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.98,2.315,2.34,2.56,2.708,2.812,3.06,3.175,3.743,3.784,3.894,4.261,3.872,4.158,4.344,4.716,4.861,5.284,5.253,5.404,5.731,5.891,5.976,6.328,7.274,8.18,9.044,10.325,12.545,12.855,16.002,19.011,18.852,19.27,19.995,21.411,21.186,24.88,28.813,30.297,32.673,2018
Netherlands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",193.415,162.114,157.059,152.909,142.325,144.398,201.24,246.488,263.755,260.073,320.839,330.512,365.356,355.303,381.874,452.71,450.625,417.329,438.61,447.474,417.581,431.508,473.072,579.788,657.862,686.202,733.953,848.656,952.491,870.278,848.133,904.915,839.436,877.198,892.397,765.65,783.852,832.239,909.887,933.178,980.561,2017
New Zealand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22.52,23.439,23.205,22.453,22.347,22.508,27.39,36.927,45.442,44.062,45.774,43.446,41.53,44.799,52.873,62.211,69.064,68.888,56.78,58.848,54.139,53.106,62.046,82.47,101.581,113.206,109.762,134.946,135.531,121.732,145.309,167.111,175.055,186.97,199.814,175.77,185.374,201.393,205.997,212.154,227.377,2017
Nicaragua,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.611,13.184,13.814,13.38,13.626,14.251,2017
Niger,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.509,2.171,2.018,1.803,1.461,1.44,1.904,2.233,2.28,2.18,2.48,2.328,2.345,2.221,1.563,1.756,1.88,1.733,1.98,1.916,1.671,1.815,2.072,2.645,2.9,3.374,3.65,4.29,5.429,5.411,5.729,6.415,6.946,7.67,8.243,7.221,7.531,8.224,9.458,10.035,10.953,2016
Nigeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.965,568.496,493.841,405.442,376.361,397.472,447.013,504.573,2017
Norway,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",64.439,63.597,62.647,61.628,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.028,163.517,161.354,154.165,162.287,171.315,174.004,195.419,228.752,264.356,308.722,345.423,401.085,462.552,386.62,429.131,498.831,510.229,523.502,499.339,386.663,371.075,398.832,441.439,448.463,462.464,2017
Oman,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.342,7.719,8.1,8.491,9.358,10.395,8.229,8.628,8.386,9.372,11.686,11.341,12.452,12.494,12.919,13.803,15.277,15.837,13.997,15.593,19.507,19.452,20.143,21.634,24.764,31.082,37.216,42.085,60.905,48.388,57.048,68.017,76.616,78.784,81.077,68.919,65.941,70.784,81.682,86.525,88.439,2017
Pakistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",30.938,36.599,40.012,37.369,40.572,40.565,41.543,43.437,50.107,52.256,52.426,59.556,63.727,67.442,67.998,79.451,82.968,81.806,81.49,82.514,79.705,77.931,77.937,89.727,105.612,118.481,137.229,152.362,170.853,167.875,177.166,213.588,224.384,231.218,244.361,270.556,278.655,304.952,306.897,n/a,n/a,2017
Palau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.145,0.155,0.162,0.153,0.164,0.185,0.188,0.193,0.197,0.183,0.183,0.193,0.215,0.225,0.246,0.293,0.303,0.292,0.3,0.314,0.328,2017
Panama,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.039,4.571,5.05,5.185,5.412,5.726,5.95,5.976,5.167,5.181,5.632,6.193,7.04,7.688,8.198,8.38,9.881,10.677,11.575,12.13,12.304,12.502,12.994,13.694,15.013,16.374,18.145,21.85,25.558,27.712,30.15,35.837,41.648,46.718,51.228,54.316,57.821,61.838,66.031,72.215,78.304,2017
Papua New Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.158,4.081,3.871,3.865,3.57,3.306,3.597,3.953,5.494,5.329,4.84,5.693,6.578,7.477,8.217,7.273,7.74,7.398,5.655,5.16,5.258,4.61,4.58,5.584,6.276,7.312,8.306,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.06,20.639,18.931,19.822,20.767,21.543,22.244,2015
Paraguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.577,22.347,27.239,33.716,33.283,38.585,40.277,36.164,36.054,38.941,41.851,44.557,47.571,2017
Peru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.186,24.394,24.254,18.859,19.439,16.82,25.236,41.673,32.971,40.692,28.32,33.988,35.376,34.329,43.792,52.139,54.09,56.911,54.6,49.378,51.005,51.613,54.451,59.045,66.71,74.97,87.887,102.187,121.783,121.358,148.82,170.837,192.932,202.119,202.22,191.597,194.542,214.248,228.944,239.217,252.974,2017
Philippines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",36.045,39.595,41.254,36.891,34.857,33.995,33.174,36.871,42.082,47.291,49.095,50.32,58.695,60.237,71.003,82.121,91.792,91.234,72.207,82.995,81.023,76.262,81.358,83.908,91.371,103.074,122.211,149.36,173.603,168.485,199.591,224.143,250.092,271.836,284.585,292.774,304.889,313.595,331.678,354.313,385.44,2017
Poland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",56.619,53.647,65.187,75.406,75.507,70.775,73.677,63.714,68.612,66.895,62.084,80.451,88.713,90.366,103.683,139.089,156.684,157.183,172.05,167.799,171.276,190.43,198.679,217.514,255.284,306.145,344.759,429.473,533.8,440.14,479.161,528.571,500.846,524.399,545.074,477.347,471.173,524.833,549.478,581.292,628.125,2017
Portugal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",32.611,32.48,30.681,28.27,25.954,27.233,37.873,47.391,55.44,59.812,79.447,89.913,108.13,95.149,99.702,118.194,122.654,117.241,124.159,127.63,118.682,121.629,134.644,165.248,189.386,197.624,208.741,240.502,263.25,244.364,238.748,245.12,216.488,226.144,229.995,199.521,205.269,218.008,237.962,242.833,254.099,2017
Qatar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.829,8.661,7.597,6.468,6.704,6.272,4.95,5.216,5.004,5.288,7.36,6.884,7.646,7.157,7.374,8.138,9.059,11.298,10.255,12.393,17.76,17.538,19.364,23.534,31.734,44.53,60.882,79.712,115.27,97.798,125.122,167.775,186.834,198.728,206.225,161.74,151.732,166.929,188.295,204.306,211.181,2017
Romania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",46.348,55.674,55.729,48.711,39.361,48.595,52.625,58.852,60.925,54.583,38.762,29.256,19.906,26.795,30.571,36.067,35.921,35.872,42.815,36.183,37.466,40.717,46.174,59.868,76.217,99.699,123.534,175.937,213.609,172.61,166.658,184.367,171.665,190.948,199.628,177.895,189.047,211.884,239.44,248.838,269.835,2017
Russia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,91.941,197.428,297.487,336.82,420.966,435.112,291.23,210.492,279.033,329.407,371.213,462.332,634.944,820.568,"1,063.64","1,396.48","1,784.51","1,313.68","1,638.46","2,051.66","2,210.26","2,297.13","2,063.66","1,368.40","1,284.73","1,577.53","1,576.49","1,649.21","1,683.82",2017
Rwanda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.259,1.429,1.525,1.629,1.56,1.853,2.1,2.331,2.495,2.605,2.491,1.837,1.95,1.881,1.195,1.239,1.343,1.808,1.931,1.797,1.718,1.676,1.673,1.847,2.099,2.59,3.15,3.824,4.863,5.379,5.774,6.492,7.316,7.623,8.01,8.294,8.475,9.136,9.709,10.532,11.571,2017
Samoa,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.124,0.116,0.119,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.279,0.255,0.264,0.266,0.282,0.333,0.408,0.474,0.503,0.554,0.667,0.586,0.639,0.739,0.801,0.805,0.804,0.804,0.786,0.841,0.878,0.92,0.982,2017
San Marino,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.88,1.962,2.095,2.401,2.664,2.3,2.079,1.997,1.749,1.808,1.791,1.524,1.565,1.643,1.769,1.786,1.85,2016
S„o TomÈ and PrÌncipe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.118,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.034,0.046,0.054,0.056,0.058,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.316,0.354,0.393,0.45,0.495,0.553,2016
Saudi Arabia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",164.54,184.291,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.791,134.995,143.152,158.451,165.742,146.775,161.717,189.515,184.137,189.606,215.808,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.936,686.738,769.878,795.582,815.316,2017
Senegal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.435,4.022,3.937,3.512,3.425,3.75,5.304,6.381,6.311,6.22,7.237,7.111,7.602,7.189,4.908,6.177,6.413,5.915,6.404,6.521,5.965,6.179,6.773,8.698,10.178,11.041,11.858,14.307,17.029,16.29,16.245,17.895,17.835,18.966,19.802,17.777,18.982,21.112,24.24,26.004,28.676,2017
Serbia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.312,12.313,16.177,21.219,24.743,26.075,30.721,40.499,49.165,42.611,39.035,46.488,40.734,45.52,44.211,37.16,38.3,41.432,47.654,50.139,54.38,2016
Seychelles,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.967,0.847,0.97,1.018,1.06,1.328,1.343,1.377,1.427,1.498,1.564,1.647,1.732,2016
Sierra Leone,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.649,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.785,3.612,3.754,3.786,3.857,2017
Singapore,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.079,14.363,15.874,18.002,19.55,18.555,18.763,21.606,26.515,31.393,38.9,45.473,52.157,60.645,73.776,87.892,96.401,100.164,85.708,86.285,95.836,89.285,91.942,97.002,114.187,127.418,147.794,179.981,192.231,192.406,236.42,275.972,290.679,304.454,311.552,304.092,309.754,323.902,346.621,359.619,377.234,2017
Slovak Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.669,15.772,19.951,21.579,21.891,22.805,20.841,20.691,21.386,24.854,34.023,43.121,49.048,57.402,77.105,97.03,89.171,89.668,98.271,93.466,98.509,101.109,87.546,89.806,95.961,106.94,112.333,120.435,2017
Slovenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.2,16.564,16.783,21.304,21.489,20.791,22.147,22.748,20.446,20.9,23.613,29.736,34.504,36.401,39.621,48.167,55.853,50.372,48.103,51.338,46.378,48.131,49.984,43.094,44.727,48.868,54.969,56.92,60.488,2017
Solomon Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.177,0.188,0.187,0.176,0.176,0.16,0.143,0.15,0.171,0.167,0.208,0.22,0.261,0.291,0.369,0.429,0.473,0.495,0.423,0.448,0.381,0.38,0.324,0.314,0.363,0.429,0.471,0.516,0.608,0.598,0.681,0.933,1.064,1.13,1.174,1.158,1.235,1.298,1.424,1.511,1.607,2016
South Africa,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",82.981,85.463,78.415,87.417,77.315,59.102,67.562,88.572,95.207,99.044,115.533,123.964,134.557,134.345,139.804,155.461,147.701,152.611,137.686,136.55,136.453,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.821,350.901,317.698,295.678,349.299,376.679,385.526,403.029,2017
South Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.186,11.267,14.947,15.105,12.49,3.054,3.06,3.98,3.007,2.678,2017
Spain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",230.189,204.082,197.154,172.429,171.955,181.172,250.683,317.602,373.143,411.571,533.917,575.021,628.565,528.01,529.824,612.429,638.444,587.92,616.885,634.369,597.03,626.403,707.326,908.413,"1,070.68","1,159.15","1,265.61","1,481.39","1,642.77","1,502.90","1,434.29","1,489.43","1,336.76","1,362.28","1,379.10","1,198.39","1,237.77","1,313.95","1,437.05","1,474.12","1,550.65",2017
Sri Lanka,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.024,5.228,5.644,6.093,7.142,7.064,7.571,7.884,8.24,8.271,9.468,10.367,11.176,11.948,13.781,14.635,16.051,17.888,18.43,18.532,19.371,18.61,19.585,21.621,23.655,27.945,32.359,37.043,46.602,48.113,56.71,65.267,68.419,74.277,79.312,80.412,81.546,87.348,92.504,98.041,105.02,2017
St. Kitts and Nevis,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.42,0.461,0.483,0.465,0.503,0.543,0.636,0.674,0.739,0.723,0.705,0.753,0.734,0.788,0.917,0.936,0.96,0.964,1.005,1.062,1.123,2017
St. Lucia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.152,0.173,0.163,0.176,0.224,0.253,0.302,0.335,0.382,0.434,0.516,0.547,0.6,0.611,0.637,0.681,0.705,0.721,0.783,0.824,0.834,0.798,0.804,0.883,0.954,1.016,1.134,1.277,1.282,1.263,1.382,1.438,1.437,1.47,1.517,1.622,1.643,1.686,1.774,1.875,1.95,2017
St. Vincent and the Grenadines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.082,0.102,0.114,0.122,0.135,0.146,0.161,0.176,0.201,0.215,0.24,0.255,0.278,0.286,0.289,0.316,0.331,0.348,0.374,0.391,0.396,0.43,0.462,0.482,0.522,0.551,0.611,0.652,0.695,0.675,0.681,0.676,0.693,0.721,0.728,0.755,0.771,0.785,0.828,0.867,0.905,2017
Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,65.919,55.787,45.819,33.249,34.373,35.147,2014
Suriname,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.192,1.333,1.372,1.325,1.296,1.309,1.336,1.469,1.741,2.034,0.539,0.594,0.551,0.434,0.488,0.927,1.153,1.235,1.483,1.222,1.266,1.09,1.376,1.615,1.868,2.235,2.626,2.936,3.533,3.876,4.368,4.422,4.98,5.146,5.241,4.826,3.278,3.419,3.84,4.11,4.352,2016
Sweden,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",138.173,126.126,111.343,102.363,106.624,111.544,147.297,179.074,202.607,213.054,255.94,268.618,279.382,210.185,226.335,264.346,288.457,264.834,267.225,271.176,260.157,240.283,264.345,331.531,382.154,389.489,420.538,488.4,514.585,430.113,488.909,563.797,544.482,579.361,574.413,498.118,512.205,535.615,554.659,563.239,586.651,2017
Switzerland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",118.954,108.905,111.579,111.278,106.269,107.779,154.449,193.384,209.365,202.212,258.017,261.197,271.577,264.178,292.675,342.769,330.254,286.567,294.824,289.532,272.192,278.677,301.525,353.157,393.577,408.68,431.141,480.28,553.847,541.62,583.047,699.669,667.895,688.751,709.506,679.721,670.249,678.967,709.118,731.14,766.559,2017
Syria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.3,48.986,49.545,54.162,61.088,63.641,78.234,105.04,126.461,152.727,166.845,187.351,223.123,235.166,256.438,279.27,292.687,303.706,280.407,304.174,331.407,300.422,308.884,318.597,348.521,375.787,388.547,408.221,417.038,392.106,446.141,485.671,495.919,511.599,530.515,525.601,530.608,572.594,602.678,626.722,661.275,2017
Tajikistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.35,7.577,8.121,2017
Tanzania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.412,8.865,10.178,10.425,9.485,8.558,10.82,5.331,5.124,4.343,3.43,4.031,3.7,3.412,3.627,4.251,5.311,6.415,9.454,11.624,12.423,12.743,13.216,14.178,15.547,16.93,18.61,21.502,27.368,28.574,31.086,33.583,39.088,44.414,48.256,45.634,47.653,51.758,55.645,60.297,65.51,2016
Thailand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.89,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.297,134.301,152.281,172.895,189.318,221.759,262.943,291.383,281.71,341.105,370.818,397.558,420.334,407.339,401.37,411.839,455.378,490.12,524.253,555.232,2017
Timor-Leste,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.44,0.518,0.511,0.543,1.078,1.814,2.658,2.881,4.391,3.2,3.999,5.682,6.671,5.65,4.045,3.104,2.521,2.775,3.155,3.412,3.587,2016
Togo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.479,1.228,1.035,0.986,0.906,0.95,1.331,1.562,1.739,1.706,2.055,2.031,2.13,1.623,1.258,1.661,1.815,1.849,1.75,1.757,1.493,1.483,1.706,2.116,2.26,2.283,2.352,2.663,3.326,3.374,3.432,3.871,3.876,4.322,4.576,4.181,4.46,4.767,5.347,5.673,6.236,2015
Tonga,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.074,0.082,0.081,0.08,0.084,0.079,0.094,0.101,0.119,0.144,0.15,0.174,0.18,0.188,0.203,0.213,0.234,0.22,0.198,0.201,0.195,0.177,0.191,0.212,0.248,0.283,0.294,0.321,0.342,0.338,0.39,0.456,0.459,0.446,0.447,0.413,0.428,0.455,0.468,0.491,0.521,2017
Trinidad and Tobago,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.492,26.864,27.164,24.257,22.657,22.779,23.284,24.162,25.267,2017
Tunisia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.566,9.223,8.9,9.202,9.055,9.246,9.911,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.473,22.066,23.142,27.454,31.184,32.272,34.377,38.91,44.84,43.466,44.054,45.81,45.044,46.248,47.634,43.152,41.808,39.956,41.662,42.277,44.192,2017
Turkey,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",96.526,97.794,88.854,84.906,82.583,92.76,102.304,118.885,125.153,147.688,207.375,208.109,219.091,248.447,179.208,233.34,250.263,261.775,276.012,256.485,273.085,200.305,238.342,311.944,404.853,501.163,550.796,675.01,764.643,644.47,772.29,832.497,873.696,950.328,934.075,859.449,863.39,851.521,713.513,631.163,744.055,2017
Turkmenistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.951,5.363,4.542,5.874,2.379,2.681,2.862,3.857,5.022,6.933,8.7,11.424,14.196,17.174,21.393,25.962,21.516,20.214,22.583,29.233,35.164,39.198,43.524,35.8,36.18,37.926,42.764,47.043,51.343,2017
Tuvalu,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.014,0.013,0.016,0.018,0.022,0.022,0.023,0.027,0.031,0.027,0.032,0.039,0.038,0.038,0.037,0.036,0.037,0.04,0.045,0.049,0.053,2015
Uganda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.769,9.341,6.481,7.413,5.703,5.219,5.199,8.384,8.685,7.041,5.743,3.004,2.809,3.323,4.809,5.76,5.944,6.48,6.343,6.029,5.978,6.039,6.494,6.724,8.285,9.603,10.851,13.497,17.279,18.579,20.212,21.108,24.505,25.808,26.637,23.502,24.509,26.617,27.855,29.869,33.047,2016
Ukraine,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,39.309,43.956,52.01,67.226,89.282,111.885,148.734,188.24,121.552,136.011,163.161,175.707,179.572,132.343,90.939,93.349,112.128,126.39,132.928,141.824,2017
United Arab Emirates,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,382.575,432.612,455.587,475.096,2017
