Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,4.434,2.704,3.105,2.955,3.314,3.908,4.109,4.646,4.558,4.537,5.255,5.679,5.769,4.496,5.106,6.662,6.218,6.487,7.279,8.739,10.581,12.736,13.576,16.005,11.892,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128,14.695,15.203,15.262,2017
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.974,26.937,28.094,28.87,30.668,26.258,23.239,26.938,44.022,44.835,19.768,1.937,7.861,4.266,7.5,12.564,9.491,10.024,13.227,13.501,13.153,14.076,16.277,20.984,25.958,29.636,34.131,44.41,54.408,51.885,50.611,57.42,53.901,55.76,56.732,50.199,53.236,56.943,63.651,66.242,70.6,2017
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.121,1.846,1.719,1.571,1.404,1.553,2.036,2.37,2.616,2.616,3.101,3.135,3.357,3.2,1.924,2.38,2.587,2.448,2.805,3.013,2.633,2.836,3.218,4.212,4.843,5.474,5.82,6.781,8.409,8.391,8.963,10.734,11.172,11.955,12.398,10.425,11.31,12.569,14.284,15.351,16.812,2016
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.575,2.934,3.005,3.138,3.396,3.436,3.573,3.714,2015
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.157,0.154,0.155,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.652,0.589,0.616,0.679,0.891,1.023,1.09,1.237,1.514,1.789,1.712,1.664,1.865,1.752,1.851,1.861,1.597,1.664,1.776,1.972,2.058,2.21,2017
Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,0.205,0.141,0.276,0.346,0.899,2.011,2.439,2.427,2.765,3.441,3.507,3.443,3.13,3.513,3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.087,24.141,26.372,28.73,2017
Cameroon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.193,9.281,8.901,8.972,9.482,9.903,12.909,14.952,15.184,13.539,13.553,15.112,13.851,14.451,9.833,9.326,10.393,10.509,10.495,10.695,9.802,10.377,11.588,14.558,17.44,17.974,19.373,22.397,26.534,26.085,26.193,29.364,29.121,32.358,34.999,30.932,32.635,34.993,38.445,40.125,43.142,2016
Canada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",275.035,306.213,313.498,340.543,355.382,364.761,377.438,431.319,507.351,565.06,593.942,610.319,592.375,577.182,578.123,604.014,628.561,652.818,631.829,676.068,742.288,736.398,757.942,892.412,"1,023.18","1,169.39","1,315.46","1,464.98","1,549.07","1,371.15","1,613.46","1,788.65","1,824.29","1,842.63","1,799.27","1,559.62","1,535.77","1,653.04","1,733.71","1,820.36","1,937.05",2017
Central African Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.885,0.897,0.963,1.11,1.257,1.337,1.461,1.698,1.985,1.982,1.986,2.196,2.171,1.519,1.706,1.585,1.756,1.937,2.307,2.536,2.779,2012
Chad,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.738,0.873,0.844,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.935,2.249,3.096,4.996,6.67,7.444,8.675,10.389,9.288,10.682,12.17,12.404,12.99,13.981,10.946,10.091,9.872,11.112,11.758,13.081,2017
Chile,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",28.829,34.133,25.45,20.673,20.104,17.238,18.531,21.856,25.765,29.679,32.998,37.981,46.27,49.505,57.114,73.599,78.024,84.907,81.562,75.094,77.815,70.971,69.728,75.643,99.223,122.996,154.864,173.569,179.489,172.522,218.313,252.108,267.042,278.369,260.522,243.962,249.92,276.992,299.887,305.556,322.901,2017
China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",305.348,290.827,286.719,307.677,316.628,312.616,303.34,330.303,411.923,461.066,398.623,415.604,495.671,623.054,566.471,736.87,867.224,965.338,"1,032.57","1,097.14","1,214.92","1,344.08","1,477.50","1,671.07","1,966.24","2,308.80","2,774.29","3,571.45","4,604.29","5,121.68","6,066.35","7,522.10","8,570.35","9,635.03","10,534.53","11,226.19","11,221.84","12,014.61","13,457.27","14,172.20","15,461.96",2017
Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",46.342,50.488,54.067,53.736,53.075,48.415,48.481,50.467,54.406,54.86,55.879,57.756,68.345,77.456,97.332,110.186,115.734,127.055,117.323,102.78,98.931,97.272,97.02,93.75,115.986,145.162,161.364,205.755,242.028,232.565,286.039,334.476,370.344,381.844,381.24,293.493,282.751,314.464,336.94,355.163,367.256,2017
Comoros,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.152,0.133,0.126,0.122,0.118,0.12,0.162,0.196,0.207,0.199,0.25,0.26,0.281,0.278,0.186,0.232,0.231,0.212,0.216,0.223,0.202,0.22,0.252,0.325,0.363,0.388,0.404,0.466,0.533,0.537,0.544,0.611,0.596,0.658,0.687,0.589,0.614,0.652,0.745,0.745,0.795,2017
Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",68.606,59.726,64.939,52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,8.173,8.719,8.954,10.341,11.951,14.296,16.364,19.129,18.315,20.641,24.575,27.566,32.676,35.918,38.402,39.324,41.44,42.692,46.117,48.737,2016
Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.083,1.708,1.489,1.354,1.245,1.276,1.746,2.121,2.257,2.384,2.799,2.725,2.933,2.684,1.769,2.116,2.54,2.323,1.949,2.357,3.22,2.794,3.02,3.502,4.653,6.097,7.738,7.446,10.224,9.363,12.304,14.811,13.664,14.026,14.099,8.554,7.787,8.718,11.46,12.084,11.58,2016
Costa Rica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.836,2.626,2.609,3.15,3.664,3.926,4.408,4.537,4.618,5.23,5.716,7.238,8.578,9.586,10.473,11.545,11.64,12.568,13.634,14.211,14.965,15.93,16.525,17.22,18.562,19.994,22.659,26.856,30.844,30.826,37.634,42.717,46.984,50.326,51.181,55.41,57.828,58.272,60.816,63.948,67.638,2016
CÙte d'Ivoire,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.04,8.321,7.466,6.737,6.717,6.851,9.17,10.088,10.195,9.757,10.796,10.493,11.153,11.046,8.313,11,12.139,11.722,12.612,12.377,10.717,11.193,12.347,15.307,16.554,17.085,17.801,20.344,24.225,24.277,24.885,25.67,26.791,31.264,35.316,33.131,36.362,40.47,45.875,49.395,54.434,2015
Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.247,12.968,17.349,22.388,23.601,23.974,25.346,23.374,21.774,23.29,26.868,34.668,41.523,45.347,50.387,60.11,70.465,62.712,59.866,62.399,56.549,58.158,57.683,49.519,51.635,54.758,59.971,61.586,64.919,2017
Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.972,26.009,25.607,27.454,25.055,24.094,23.395,19.687,20.161,21.695,23.963,24.996,26.946,2017
Czech Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59.768,66.986,61.783,66.465,64.867,61.645,67.524,81.899,99.662,119.162,136.281,155.464,189.032,236.031,206.303,207.478,227.948,207.376,209.402,207.818,186.83,195.09,215.825,244.54,264.498,285.807,2017
Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",71.127,61.878,60.413,60.645,59.105,62.658,88.079,109.414,115.552,112.41,138.248,139.226,152.915,143.195,156.164,185.008,187.633,173.539,176.991,177.964,164.158,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,301.299,306.9,325.556,354.683,362.15,380.204,2017
Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.462,0.478,0.466,0.492,0.498,0.494,0.503,0.514,0.541,0.556,0.577,0.596,0.628,0.666,0.709,0.769,0.848,0.984,1.015,1.099,1.239,1.354,1.455,1.588,1.727,1.889,2.029,2.187,2.392,2.599,2017
Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.508,0.528,0.535,0.581,0.557,0.485,0.539,0.586,2016
Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,66.157,68.898,72.434,76.091,81.103,85.816,90.93,2017
Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.84,17.243,17.214,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,107.266,108.401,110.158,2016
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.26,71.114,79.77,89.188,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528,249.471,298.153,339.375,2017
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.977,22.586,23.166,23.912,24.805,25.855,26.921,28.172,2017
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.156,1.672,2.061,3.765,5.95,8.184,10.087,13.072,19.75,15.028,16.299,21.329,22.39,21.943,21.737,13.18,11.253,12.487,13.225,12.962,12.869,2016
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.783,0.483,0.56,0.624,0.749,0.767,0.809,0.794,0.706,0.752,0.729,0.87,1.109,1.098,1.211,1.318,1.38,1.857,2.117,2.609,3.061,3.516,3.964,4.442,5.005,5.813,6.722,7.72,8.116,2006
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.739,2.435,3.797,4.745,5.072,5.621,5.741,5.706,6.259,7.345,9.851,12.071,14.025,16.987,22.264,24.285,19.712,19.536,23.191,23.057,25.145,26.266,22.578,23.348,25.973,29.527,31.179,33.454,2017
Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.754,0.798,0.714,0.734,0.628,0.497,0.635,0.831,0.986,1.006,1.237,1.285,1.425,1.497,1.621,1.932,1.83,1.957,1.797,1.764,1.739,1.544,1.436,2.198,2.774,3.177,3.293,3.465,3.298,3.596,4.438,4.826,4.824,4.563,4.381,4.022,3.72,4.417,4.756,4.865,5.016,2016
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,8.431,8.826,8.909,8.078,7.927,8.235,8.223,7.851,8.623,10.142,12.408,15.283,19.701,26.839,32.464,29.917,31.958,43.134,47.656,55.512,64.683,73.151,80.874,83.836,88.17,97.133,2017
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.231,1.264,1.222,1.149,1.205,1.168,1.32,1.205,1.136,1.21,1.337,1.384,1.532,1.636,1.826,1.97,2.129,2.09,1.653,1.936,1.678,1.652,1.833,2.301,2.708,2.981,3.076,3.378,3.523,2.871,3.14,3.775,3.972,4.19,4.484,4.344,4.569,4.891,5.223,5.563,5.925,2016
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.797,128.287,113.227,89.321,103.76,134.349,132.153,126.997,134.11,135.4,125.883,129.338,139.984,171.365,196.975,204.767,216.733,255.739,285.087,252.137,248.262,273.925,256.849,270.065,273.042,232.582,239.15,252.753,276.553,282.013,295.501,2017
